Time,PID,Tickets,Pass,Stride,Runtime
100,5,1,2394,1024,1
100,4,8,1539,128,3
100,6,2,1870,512,2
100,7,4,1588,256,2
100,8,8,1603,128,5
100,9,16,1626,64,11
100,10,32,1584,32,21
100,11,32,1599,32,21
100,12,32,1611,32,21
100,13,32,1585,32,20
100,14,32,1610,32,16
233,5,1,2394,1024,1
233,4,8,1917,128,4
233,6,2,2382,512,3
233,7,4,2356,256,5
233,8,8,2371,128,11
233,9,16,2330,64,22
233,10,32,2320,32,44
233,11,32,2303,32,43
233,12,32,2315,32,43
233,13,32,2289,32,42
233,14,32,2314,32,38
349,5,1,3418,1024,2
349,4,8,2167,128,4
349,6,2,3406,512,5
349,7,4,3124,256,8
349,8,8,3011,128,16
349,9,16,2906,64,31
349,10,32,2928,32,63
349,11,32,2911,32,62
349,12,32,2923,32,62
349,13,32,2929,32,62
349,14,32,2922,32,57
471,5,1,4442,1024,3
471,4,8,2417,128,4
471,6,2,3918,512,6
471,7,4,3636,256,10
471,8,8,3651,128,21
471,9,16,3610,64,42
471,10,32,3568,32,83
471,11,32,3583,32,83
471,12,32,3563,32,82
471,13,32,3569,32,82
471,14,32,3594,32,78
587,5,1,4442,1024,3
587,4,8,2667,128,4
587,6,2,4430,512,7
587,7,4,4404,256,13
587,8,8,4291,128,26
587,9,16,4186,64,51
587,10,32,4208,32,103
587,11,32,4191,32,102
587,12,32,4203,32,102
587,13,32,4209,32,102
587,14,32,4202,32,97
709,5,1,5466,1024,4
709,4,8,3045,128,5
709,6,2,4942,512,8
709,7,4,4916,256,15
709,8,8,4931,128,31
709,9,16,4890,64,62
709,10,32,4848,32,123
709,11,32,4863,32,123
709,12,32,4843,32,122
709,13,32,4849,32,122
709,14,32,4842,32,117
825,5,1,5466,1024,4
825,4,8,3295,128,5
825,6,2,5966,512,10
825,7,4,5684,256,18
825,8,8,5571,128,36
825,9,16,5466,64,71
825,10,32,5456,32,142
825,11,32,5471,32,142
825,12,32,5483,32,142
825,13,32,5457,32,141
825,14,32,5482,32,137
947,5,1,6490,1024,5
947,4,8,3673,128,6
947,6,2,6478,512,11
947,7,4,6196,256,20
947,8,8,6211,128,41
947,9,16,6106,64,81
947,10,32,6128,32,163
947,11,32,6111,32,162
947,12,32,6123,32,162
947,13,32,6129,32,162
947,14,32,6122,32,157
1063,5,1,7514,1024,6
1063,4,8,3923,128,6
1063,6,2,6990,512,12
1063,7,4,6964,256,23
1063,8,8,6851,128,46
1063,9,16,6746,64,91
1063,10,32,6736,32,182
1063,11,32,6751,32,182
1063,12,32,6731,32,181
1063,13,32,6737,32,181
1063,14,32,6730,32,176
1185,5,1,7514,1024,6
1185,4,8,4301,128,7
1185,6,2,7502,512,13
1185,7,4,7476,256,25
1185,8,8,7491,128,51
1185,9,16,7386,64,101
1185,10,32,7408,32,203
1185,11,32,7391,32,202
1185,12,32,7403,32,202
1185,13,32,7377,32,201
1185,14,32,7402,32,197
1302,5,1,8538,1024,7
1302,4,8,4556,128,7
1302,6,2,8014,512,14
1302,7,4,8244,256,28
1302,8,8,8003,128,55
1302,9,16,8026,64,111
1302,10,32,8016,32,222
1302,11,32,8031,32,222
1302,12,32,8011,32,221
1302,13,32,8017,32,221
1302,14,32,8010,32,216
1419,5,1,9562,1024,8
1419,4,8,4934,128,8
1419,6,2,9038,512,16
1419,7,4,8756,256,30
1419,8,8,8643,128,60
1419,9,16,8666,64,121
1419,10,32,8624,32,241
1419,11,32,8639,32,241
1419,12,32,8619,32,240
1419,13,32,8625,32,240
1419,14,32,8650,32,236
1539,5,1,9562,1024,8
1539,4,8,5312,128,9
1539,6,2,9550,512,17
1539,7,4,9268,256,32
1539,8,8,9283,128,65
1539,9,16,9306,64,131
1539,10,32,9264,32,261
1539,11,32,9279,32,261
1539,12,32,9291,32,261
1539,13,32,9265,32,260
1539,14,32,9290,32,256
1656,5,1,10586,1024,9
1656,4,8,5690,128,10
1656,6,2,10062,512,18
1656,7,4,10036,256,35
1656,8,8,9923,128,70
1656,9,16,9882,64,140
1656,10,32,9904,32,281
1656,11,32,9887,32,280
1656,12,32,9899,32,280
1656,13,32,9905,32,280
1656,14,32,9898,32,275
1778,5,1,10586,1024,9
1778,4,8,6068,128,11
1778,6,2,10574,512,19
1778,7,4,10548,256,37
1778,8,8,10563,128,75
1778,9,16,10586,64,151
1778,10,32,10544,32,301
1778,11,32,10559,32,301
1778,12,32,10539,32,300
1778,13,32,10545,32,300
1778,14,32,10570,32,296
1895,5,1,11610,1024,10
1895,4,8,6446,128,12
1895,6,2,11598,512,21
1895,7,4,11316,256,40
1895,8,8,11203,128,80
1895,9,16,11162,64,160
1895,10,32,11152,32,320
1895,11,32,11167,32,320
1895,12,32,11179,32,320
1895,13,32,11153,32,319
1895,14,32,11178,32,315
2016,5,1,12634,1024,11
2016,4,8,6696,128,12
2016,6,2,12110,512,22
2016,7,4,11828,256,42
2016,8,8,11843,128,85
2016,9,16,11802,64,170
2016,10,32,11824,32,341
2016,11,32,11807,32,340
2016,12,32,11819,32,340
2016,13,32,11825,32,340
2016,14,32,11818,32,335
2133,5,1,12634,1024,11
2133,4,8,7074,128,13
2133,6,2,12622,512,23
2133,7,4,12596,256,45
2133,8,8,12483,128,90
2133,9,16,12442,64,180
2133,10,32,12432,32,360
2133,11,32,12447,32,360
2133,12,32,12427,32,359
2133,13,32,12433,32,359
2133,14,32,12458,32,355
2254,5,1,13658,1024,12
2254,4,8,7324,128,13
2254,6,2,13134,512,24
2254,7,4,13108,256,47
2254,8,8,13123,128,95
2254,9,16,13082,64,190
2254,10,32,13104,32,381
2254,11,32,13087,32,380
2254,12,32,13099,32,380
2254,13,32,13073,32,379
2254,14,32,13098,32,375
2371,5,1,14682,1024,13
2371,4,8,7702,128,14
2371,6,2,14158,512,26
2371,7,4,13876,256,50
2371,8,8,13763,128,100
2371,9,16,13722,64,200
2371,10,32,13712,32,400
2371,11,32,13695,32,399
2371,12,32,13707,32,399
2371,13,32,13681,32,398
2371,14,32,13706,32,394
2493,5,1,14682,1024,13
2493,4,8,8080,128,15
2493,6,2,14670,512,27
2493,7,4,14388,256,52
2493,8,8,14403,128,105
2493,9,16,14362,64,210
2493,10,32,14352,32,420
2493,11,32,14367,32,420
2493,12,32,14347,32,419
2493,13,32,14353,32,419
2493,14,32,14378,32,415
2493,15,8,13602,128,0
2493,16,8,13602,128,0
2493,17,8,13602,128,0
2493,18,8,13606,128,0
2493,19,8,13606,128,0
2493,20,8,13606,128,0
2651,5,1,14682,1024,13
2651,4,8,8358,128,16
2651,6,2,14670,512,27
2651,7,4,14644,256,53
2651,8,8,14659,128,107
2651,9,16,14682,64,215
2651,10,32,14672,32,430
2651,11,32,14655,32,429
2651,12,32,14667,32,429
2651,13,32,14673,32,429
2651,14,32,14666,32,424
2651,15,32,14664,32,36
2651,16,32,14670,32,36
2651,17,8,14754,128,9
2651,18,2,14939,512,2
2651,19,8,14758,128,9
2651,20,8,14758,128,9
2803,5,1,15706,1024,14
2803,4,8,8508,128,16
2803,6,2,15694,512,29
2803,7,4,15412,256,56
2803,8,8,15299,128,112
2803,9,16,15258,64,224
2803,10,32,15216,32,447
2803,11,32,15199,32,446
2803,12,32,15211,32,446
2803,13,32,15217,32,446
2803,14,32,15210,32,441
2803,15,32,15208,32,53
2803,16,32,15214,32,53
2803,17,8,15266,128,13
2803,18,2,15451,512,3
2803,19,8,15270,128,13
2803,20,8,15270,128,13
2961,5,1,16730,1024,15
2961,4,8,8786,128,17
2961,6,2,16206,512,30
2961,7,4,15924,256,58
2961,8,8,15811,128,116
2961,9,16,15834,64,233
2961,10,32,15792,32,465
2961,11,32,15807,32,465
2961,12,32,15787,32,464
2961,13,32,15793,32,464
2961,14,32,15786,32,459
2961,15,32,15784,32,71
2961,16,32,15790,32,71
2961,17,8,15778,128,17
2961,18,2,15963,512,4
2961,19,8,15782,128,17
2961,20,8,15782,128,17
3123,5,1,16730,1024,15
3123,4,8,9064,128,18
3123,6,2,16718,512,31
3123,7,4,16436,256,60
3123,8,8,16451,128,121
3123,9,16,16410,64,242
3123,10,32,16368,32,483
3123,11,32,16383,32,483
3123,12,32,16363,32,482
3123,13,32,16369,32,482
3123,14,32,16394,32,478
3123,15,32,16392,32,90
3123,16,32,16366,32,89
3123,17,8,16418,128,22
3123,18,2,16475,512,5
3123,19,8,16422,128,22
3123,20,8,16422,128,22
3283,5,1,17754,1024,16
3283,4,8,9342,128,19
3283,6,2,17230,512,32
3283,7,4,16948,256,62
3283,8,8,16963,128,125
3283,9,16,16986,64,251
3283,10,32,16944,32,501
3283,11,32,16959,32,501
3283,12,32,16939,32,500
3283,13,32,16945,32,500
3283,14,32,16970,32,496
3283,15,32,16968,32,108
3283,16,32,16942,32,107
3283,17,8,17058,128,27
3283,18,2,16987,512,6
3283,19,8,17062,128,27
3283,20,8,17062,128,27
3438,5,1,17754,1024,16
3438,4,8,9876,128,22
3438,6,2,17742,512,33
3438,7,4,17716,256,65
3438,8,8,17603,128,130
3438,9,16,17498,64,259
3438,10,32,17520,32,519
3438,11,32,17503,32,518
3438,12,32,17515,32,518
3438,13,32,17489,32,517
3438,14,32,17514,32,513
3438,15,32,17512,32,125
3438,16,32,17518,32,125
3438,17,8,17570,128,31
3438,18,2,17499,512,7
3438,19,8,17574,128,31
3438,20,8,17574,128,31
3595,5,1,18778,1024,17
3595,4,8,10026,128,22
3595,6,2,18254,512,34
3595,7,4,18228,256,67
3595,8,8,18115,128,134
3595,9,16,18074,64,268
3595,10,32,18096,32,537
3595,11,32,18079,32,536
3595,12,32,18091,32,536
3595,13,32,18065,32,535
3595,14,32,18090,32,531
3595,15,32,18088,32,143
3595,16,32,18094,32,143
3595,17,8,18082,128,35
3595,18,2,18523,512,9
3595,19,8,18086,128,35
3595,20,8,18086,128,35
3755,5,1,18778,1024,17
3755,4,8,10310,128,23
3755,6,2,18766,512,35
3755,7,4,18740,256,69
3755,8,8,18755,128,139
3755,9,16,18650,64,277
3755,10,32,18672,32,555
3755,11,32,18655,32,554
3755,12,32,18667,32,554
3755,13,32,18641,32,553
3755,14,32,18666,32,549
3755,15,32,18664,32,161
3755,16,32,18670,32,161
3755,17,8,18722,128,40
3755,18,2,19035,512,10
3755,19,8,18726,128,40
3755,20,8,18726,128,40
3915,5,1,19802,1024,18
3915,4,8,10588,128,24
3915,6,2,19278,512,36
3915,7,4,19252,256,71
3915,8,8,19267,128,143
3915,9,16,19290,64,287
3915,10,32,19248,32,573
3915,11,32,19263,32,573
3915,12,32,19243,32,572
3915,13,32,19249,32,572
3915,14,32,19242,32,567
3915,15,32,19240,32,179
3915,16,32,19246,32,179
3915,17,8,19234,128,44
3915,18,2,19547,512,11
3915,19,8,19238,128,44
3915,20,8,19238,128,44
4075,5,1,20826,1024,19
4075,4,8,10741,128,24
4075,6,2,20302,512,38
4075,7,4,20020,256,74
4075,8,8,19907,128,148
4075,9,16,19802,64,295
4075,10,32,19824,32,591
4075,11,32,19807,32,590
4075,12,32,19819,32,590
4075,13,32,19825,32,590
4075,14,32,19818,32,585
4075,15,32,19816,32,197
4075,16,32,19822,32,197
4075,17,8,19874,128,49
4075,18,2,20059,512,12
4075,19,8,19878,128,49
4075,20,8,19878,128,49
4227,5,1,20826,1024,19
4227,4,8,10891,128,24
4227,6,2,20814,512,39
4227,7,4,20532,256,76
4227,8,8,20419,128,152
4227,9,16,20378,64,304
4227,10,32,20368,32,608
4227,11,32,20383,32,608
